product_code,product_name,ingredient
73100230,바이토린정10/40_(1정),simvastatin
653600561,산디문주사(사이클로스포린)_(0.25g/5mL),cyclosporine
644603080,클라비오정250밀리그램(클래리트로마이신)_(0.25g/1정),clarithromycin
657806341,씨클린건조시럽125mg/5mL(클래리트로마이신)_(2.5g/100mL),clarithromycin
655403571,일성클래리트로마이신건조시럽125mg/5mL_(2.5g/100mL),clarithromycin
698000800,클래이신정(클래리트로마이신)_(0.25g/1정),clarithromycin
657308620,사이크린연질캡슐50밀리그램(사이클로스포린)_(50mg/1캡슐),cyclosporine
73100230,바이토린정10/40_(1정),ezetimibe
657303290,크래빅스정(클래리트로마이신)_(0.25g/1정),clarithromycin
649604350,클래미신정250mg(클래리트로마이신)_(0.25g/1정),clarithromycin
73100240,조코정20밀리그램(심바스타틴)_(20mg/1정),simvastatin
645405160,제클리정500밀리그램(클래리트로마이신)_(0.5g/1정),clarithromycin
73100260,조코정40밀리그램(심바스타틴)_(40mg/1정),simvastatin
694000460,대웅바이오클래리트로마이신정500mg(클래리트로마이신)_(0.5g/1정),clarithromycin
647302710,이트라코나정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
73100380,아토젯정10/20밀리그램_(1정),ezetimibe
73100390,아토젯정10/40밀리그램_(1정),atorvastatin
649102370,이트릭스정(이트라코나졸)_(0.1g/1정),itraconazole
73100410,아토젯정10/10밀리그램_(1정),ezetimibe
73400160,카듀엣정5mg/10mg_(1정),amlodipine
671800840,대원이트라코나졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
73400170,카듀엣정5mg/40mg_(1정),amlodipine
73400180,카듀엣정5mg/20mg_(1정),atorvastatin
73400190,카듀엣정10/20밀리그램_(1정),atorvastatin
73400330,리피토정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),atorvastatin
643502220,임프란타연질캡슐25밀리그램(사이클로스포린)_(25mg/1캡슐),cyclosporine
73400350,리피토정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),atorvastatin
657502700,아일로정(이트라코나졸)_(0.1g/1정),itraconazole
73400460,자낙스정0.5밀리그램(알프라졸람)_(0.5mg/1정),alprazolam
648602840,씨코나졸정(이트라코나졸)_(0.1g/1정),itraconazole
73400470,자낙스정0.25밀리그램(알프라졸람)_(0.25mg/1정),alprazolam
